中国,#genre#
寰宇新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyuxinwen_twn
寰宇财经台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyutaiwan_twn
八大第一台,http://smt.iktv.ddns-ip.net/Smart.php?id=badafirst
八大综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=badazhonghe
八大戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=badadrama
八大娱乐台,http://smt.iktv.ddns-ip.net/Smart.php?id=badaentertain
纬来体育,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandsport
纬来精彩,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandspecial_twn
纬来日本,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandjapan
纬来电影,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandmovie
纬来综合,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandzonghe
纬来育乐,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandyule
爱尔达综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltazonghe_twn
爱尔达影剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltayingju_twn
爱尔达体育1台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport_twn
爱尔达体育2台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport3_twn
非凡新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=feifannews_twn
年代新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=niandainews_twn
龙华戏剧,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuaxiju_twn
龙华偶像,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuaidol_twn
龙华电影,http://smt.iktv.ddns-ip.net/Smart.php?id=xingwei_movie
龙华洋片,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuawestern_twn
龙华经典,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuajingdian_twn
靖天国际,http://smt.iktv.ddns-ip.net/Smart.php?id=jingtianintl_twn
靖天卡通,http://smt.iktv.ddns-ip.net/Smart.php?id=jingtiancartoon_twn
大愛電視,http://smt.iktv.ddns-ip.net/Smart.php?id=daai_twn
大愛二台,http://smt.iktv.ddns-ip.net/Smart.php?id=daai2_twn
EYE 旅游台,http://smt.iktv.ddns-ip.net/Smart.php?id=eyetvtravel_twn
EYE 戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=eyetvxiju_twn
亚洲美食,http://smt.iktv.ddns-ip.net/Smart.php?id=afc_twn
美食星球,http://smt.iktv.ddns-ip.net/Smart.php?id=foodplanet_twn
TLC旅遊生活,http://smt.iktv.ddns-ip.net/Smart.php?id=tlc_twn
亚洲旅游台,http://smt.iktv.ddns-ip.net/Smart.php?id=asiatravel_twn
Arirang,http://smt.iktv.ddns-ip.net/Smart.php?id=arirang_twn
AXN Taiwan,http://smt.iktv.ddns-ip.net/Smart.php?id=axn_twn
MTV Live,http://smt.iktv.ddns-ip.net/Smart.php?id=mtvhd_twn
HBO_HD,http://smt.iktv.ddns-ip.net/Smart.php?id=hbohd_twn
